type,title,description,areapath,iterationpath
Epic,Operations,Epic placeholder for Operations hierarchy.,OpsTeam,
Feature,Operations Onboarding,Feature for onboarding work items.,OpsTeam,
User Story,PreReqs,User story for any prerequisites tasks.,OpsTeam,
Task,Access to subscriptions,Get access to the customer subscriptions.,OpsTeam,
User Story,Monitoring,Monitoring configuration,OpsTeam,
Task,Enable Diagnostics,Enable Diagnostics,OpsTeam,
Task,Enable Metrics,Enable Metrics,OpsTeam,
Task,Create Management Resource Group,Create Management Resource Group,OpsTeam,
Task,Create Log Analytics Workspace,Create Log Analytics Workspace,OpsTeam,
Task,Configure Azure Security Center,Configure Azure Security Center,OpsTeam,
Task,Configure ITSM Connector,Configure ITSM Connector,OpsTeam,
User Story,Alerts,Alerting configuration,OpsTeam,
Task,Create Action Groups,Create Action Groups,OpsTeam,
Task,Create Azure Monitor Alerts,Create Azure Monitor Alerts,OpsTeam,
User Story,Backups,Backups configuration,OpsTeam,
Task,Create Recover Services Vault,Create Recover Services Vault,OpsTeam,
Task,Create Backup Policy,Create Backup Policy,OpsTeam,
Task,Configure Resources for Backup,Configure Resources for Backup,OpsTeam,
User Story,Updates,Updates configuration.,OpsTeam,
Task,Document Update Schedule,Document Update Schedule,OpsTeam,
Task,Document Maintenance Windows,Document Maintenance Windows,OpsTeam,
Task,Create Update Schedules,Create Update Schedules,OpsTeam,
User Story,CMP,CMP configuration,OpsTeam,
Task,Add Subscription to CMP Portal,Add Subscription to CMP Portal,OpsTeam,
Task,Create Default Perspectives,Create Default Perspectives,OpsTeam,
Task,Create Customer Accounts,Create Customer Accounts,OpsTeam,
User Story,Tagging,Tagging configuration,OpsTeam,
Task,Add 10M Monitored Tag,Add 10M Monitored Tag,OpsTeam,
Task,Add 10M Backup Tag,Add 10M Backup Tag,OpsTeam,
Task,Add 10M Update Tag,Add 10M Update Tag,OpsTeam,
Task,Add 10M Environment Tag,Add 10M Environment Tag,OpsTeam,
User Story,ITSM,ITSM configuration,OpsTeam,
Task,Add Contacts to Tracking Document in Teams,Add Contacts to Tracking Document in Teams,OpsTeam,
Task,Create Customer Accounts and Invitations,Create Customer Accounts and Invitations,OpsTeam,
User Story,Documentation,Document everything,OpsTeam,
Task,Technical Onboarding Meeting,Technical Onboarding Meeting,OpsTeam,
Task,Knowledge Transfer from Onboarding to Ops,Knowledge Transfer from Onboarding to Ops,OpsTeam,
Task,Review Daily Ops Checklist,Review Daily Ops Checklist,OpsTeam,
