type,title,description
Epic,Migration,Epic for the migration phase of the project.
Feature,Onboarding,"Setup of the migration items and prerequisities. This includes any accounts, access, and ASR components."
User Story,Migration tooling kick-off,"Kick off to discuss strategy and validate workloads, groupings, and timeline."
Task,Schedule migration tooling session,"Schedule a session to review the clients environment, welcome kit details if available, and design an ASR topology that will meet the migration goals."
Task,Create and share ASR design,"Create and share ASR topology with the customer. If this can be completed in advance of the tooling session, it should be so that it can be reviewed."
Task,Schedule working sessions to deploy ASR components,Schedule working sessions to deploy ASR Azure and on-prem components to the design.
User Story,Accounts and Access,Establish and verify required accounts and access needed to configure the migration components.
Task,Establish and verify Azure sccess,Establish access to the customer environment and Azure sub(s). Document the access methods here.
Task,Establish and verify on-prem access,"Verify necessary on-prem accounts and permissions are setup to perform the migration. CMC will need on-prem accounts, VPN, read access to vCenter, Hyper-V, or SCVMM, and admin rights to ASR or Az Migrate appliances that have been deployed."
Task,Document service accounts and service principals,Verify proper service accounts are established and documented in the key vault.
User Story,Azure Environment Setup,Azure environment setup
Task,Create Automation Accounts,Create automation account that will be used for failover runbooks.
Task,Copy workbooks to Automation Accounts,Copy our standard post-migration runbooks to the new automation accounts.
Task,Create ASR Storage Cache Accounts,Create storage account for the ASR cache.
Task,Create ASR Recovery Services Vaults,Create a Recovery Services Vault in each target region.
Task,Configure ASR Recovery Services Vaults,"Configure new or existing ASR RSVs. Configure logging, alerts, perform initial infrastructure setup, register any configuration servers."
Task,Create or verify failover testing environment,"Create VNETs for failover testing, or if an existing environment exists, verify that it is configured correctly and isolated."
Task,Create and attach NSGs to failover testing subnets,Create and attach an NSG to isolate the failover testing subnets.
User Story,On-Prem Tooling Setup,User story for any prerequisites tasks.
Task,Provision servers for the ASR Deployment Planner,Have the customer deploy a server to land the ASR Deployment planner.
Task,Configure ASR Deployment Planner,Work with the customer to configure the ASR Deployment planner and start collecting data.
Task,Provision Azure Migrate appliance,Have the customer IT team download and deploy the Azure Migrate appliance. Schedule working session to complete the configuration and registration.
Task,Configure Azure Migrate appliance,Work with the customer in a working session to configure and register the Azure Migrate appliance.
Task,Seek advance change approvals,Get necessary change requests submitted and approved for deployment work.
Task,Deploy ASR configuration server or appliance,Work with the customer to deploy the ASR appliance. We will need one appliance for each vCenter server.
Feature,Workload Migration: Group 1,Workload Migration Group 1 Work Items
User Story,Workload 1,
Feature,Workload Migration: Group 2,Workload Migration Group 2 Work Items
User Story,Workload 1,
Feature,Workload Migration: Group 3,Workload Migration Group 3 Work Items
User Story,Workload 1,
Feature,Workload Migration: Group 4,Workload Migration Group 4 Work Items
User Story,Workload 1,
Feature,Workload Migration: Group 5,Workload Migration Group 5 Work Items
User Story,Workload 1,
