type,title,description,acceptancecriteria,areapath,iterationpath,sprint theme
Epic,VDC Deployment,Elements needed to build a VDC,,\VDCTeam,,
Feature,Cloud Design ,Design sessions are meant to capture the key design decisions and requirements across the primary VDC disciplines.  These decisions will guide the VDC deployment. ,,\VDCTeam,,
User Story,Cloud Design Session  Identity Discovery,Intitial design session focused on Identity,Onsite design session complete,\VDCTeam,\Sprint1,
Task,Identity Design Strategy Update,"Updates made to strategy documenation, focus on Identity",,\VDCTeam,\Sprint1,
Task,Identity Design Strategy Review,Review with Customer updated Identity strategy,,\VDCTeam,\Sprint1,
Task,Identity Design Strategy Finalization,Finalized Identity strategy document,,\VDCTeam,\Sprint1,
Task,Conduct Identity Design Session,,,\VDCTeam,\Sprint1,
User Story,Cloud Design Session  Operational Discovery,Intitial design session focused on Operations,Onsite design session complete,\VDCTeam,\Sprint1,
Task,Operational Design Strategy Update,"Updates made to strategy documenation, focus on Operations",,\VDCTeam,\Sprint1,
Task,Operational Design Strategy Review,Review with Customer updated Operations strategy,,\VDCTeam,\Sprint1,
Task,Operational Design Strategy Finalization,Finalized Operations strategy document,,\VDCTeam,\Sprint1,
Task,Conduct Operational Design Session,,,\VDCTeam,\Sprint1,
User Story,Cloud Design Session  Organizational Discovery,Intitial design session focused on the Organization,Onsite design session complete,\VDCTeam,\Sprint1,
Task,Organizational Design Strategy Update,"Updates made to strategy documenation, focus on Organizational layout",,\VDCTeam,\Sprint1,
Task,Organizational Design Strategy Review,Review with Customer updated Organizational strategy,,\VDCTeam,\Sprint1,
Task,Organizational Design Strategy Finalization,Finalized Organizational strategy document,,\VDCTeam,\Sprint1,
Task,Conduct Organizational Design Session,,,\VDCTeam,\Sprint1,
User Story,Cloud Design Session  Workload Discovery,Intitial design session focused on Workloads,Onsite design session complete,\VDCTeam,\Sprint1,
Task,Workload Design Strategy Update,"Updates made to strategy documenation, focus on Workloads",,\VDCTeam,\Sprint1,
Task,Workload Design Strategy Review,Review with Customer updated Workload strategy,,\VDCTeam,\Sprint1,
Task,Workload Design Strategy Finalization,Finalized Workload strategy document,,\VDCTeam,\Sprint1,
