type,title,description,areapath,iterationpath
Epic,Project Management,Project Management,ProjectMgmt,
Feature,Project Management,Project Management,ProjectMgmt,
User Story,Send welcome kit,Send welcome kit to the customer to gather required information.,ProjectMgmt,
User Story,Project kick off,Schedule and conduct the project kick off meeting.,ProjectMgmt,Sprint1
User Story,Get Azure subscription access,"Request Azure subscription access for the resources assigned to the project. This will need to be at least read-only during during the discovery phase. When the delivery phase starts, contributer access will be needed to start the work.",ProjectMgmt,Sprint1
User Story,Request ASR Deployment planner setup,Work with the customer to get ASR deployment planner setup in their environment and gathering data for at least a week. This will assist with migration planning.,ProjectMgmt,Sprint1
User Story,Change request for ASR deployment,Change request for the deployment of the ASR components.,ProjectMgmt,Sprint1
User Story,Schedule meetings/standups,Schedule customer meetings or standups.,ProjectMgmt,Sprint1
User Story,Develop engagement schedule,Develop engagement schedule,ProjectMgmt,
User Story,Get VPN access to datacenter,Request VPN access to the customer's datacenter environment if necessary for discovery and deployment.,ProjectMgmt,Sprint1
User Story,Get jumpbox and access,Request a jumpbox to be provisioned in the customer's datacenter for 10M resources.,ProjectMgmt,Sprint1
User Story,Get server local admin credentials,Request service account with local administrator credentials on that servers that will be migrated. This will be used by the ASR services to install the mobility agent on the servers.,ProjectMgmt,Sprint1
User Story,Get vCenter RO service account,Request vCenter RO service account. This will be used by the ASR services to connect to vCenter and discover resources.,ProjectMgmt,Sprint1
User Story,Complete VDC questionairre,Complete VDC questionairre.,ProjectMgmt,Sprint1
User Story,Network mapping review,Network mapping review.,ProjectMgmt,Sprint1
User Story,Get updated migration inventory,"Request updated migration inventory. This could be based on the 10vu assessment documentation, but should be reviewed for accuracy. The workloads should be placed into buckets that match the SoW and migration plan.",ProjectMgmt,Sprint1
User Story,Setup SharePoint pages,Setup internal and exteranl SharePoint pages for the customer.,ProjectMgmt,
User Story,Setup Teams channels,Setup internal and external MS Teams channels,ProjectMgmt,
User Story,Setup Timecodes and Harvest forecast,Setup timecodes and forcast items for the project.,ProjectMgmt,
User Story,Create budget sheet,Create budget sheet,ProjectMgmt,
User Story,Update and validate timeline,Update and validate the project timeline.,ProjectMgmt,
