type,title,description,acceptancecriteria,areapath,iterationpath,sprint theme
Epic,VDC Deployment,Elements needed to build a VDC,All features should be completed before the epic completion is accepted,VDCTeam,,
Feature,Azure Identity - Connectivity,Ensure best practices are being followed for Identity and sync activities to on-prem,All stories should be completed before the Feature completion is accepted,VDCTeam,,
User Story,Validate AD Connect and sync settings,Validate AD Connect settings,Configuration validation:  Ensure that AD Connect is using 10M best practices,VDCTeam,Sprint2,Foundations
Feature,Azure Identity - Extend,Extend on-prem Identity into Azure (if required),All stories should be completed before the Feature completion is accepted,VDCTeam,,
User Story,Create and Update Windows Domain Controller template,Create a templated deployment for Windows Domain Controller,Create and update Windows Domain Controller  template per 10M best practices and Customer standards,VDCTeam,Sprint3,Cloud Supporting Services
User Story,Deploy Domain Contoller into targeted Azure regions,Deploy Domain Controller workload through template,Deployed to Azure:  Windows Domain Contollers that meets  Customer standards - per region,VDCTeam,Sprint3,Cloud Supporting Services
Feature,Cloud Design ,Design sessions are meant to capture the key design decisions and requirements across the primary VDC disciplines.  These decisions will guide the VDC deployment. ,All stories should be completed before the Feature completion is accepted,VDCTeam,,
User Story,Cloud Design Session - Identity Discovery,Intitial design session focused on Identity,On-site design session complete,VDCTeam,Sprint1,Discovery & Design
User Story,Identity Design Strategy Update,"Updates made to strategy documenation, focus on Identity","Initial design strategy document for Identity created, based on design session and 10M best practices",VDCTeam,Sprint1,Discovery & Design
User Story,Identity Design Strategy Review,Review with Customer updated Identity strategy,10M and Customer review of strategy document,VDCTeam,Sprint1,Discovery & Design
User Story,Identity Design Strategy Finalization,Finalized Identity strategy document,Updated and finalized Identity strategy document provided to the Customer,VDCTeam,Sprint1,Discovery & Design
User Story,Cloud Design Session - Operational Discovery,Intitial design session focused on Operations,On-site design session complete,VDCTeam,Sprint1,Discovery & Design
User Story,Operational Design Strategy Update,"Updates made to strategy documenation, focus on Operations","Initial design strategy document for Operations created, based on design session and 10M best practices",VDCTeam,Sprint1,Discovery & Design
User Story,Operational Design Strategy Review,Review with Customer updated Operations strategy,10M and Customer review of strategy document,VDCTeam,Sprint1,Discovery & Design
User Story,Operational Design Strategy Finalization,Finalized Operations strategy document,Updated and finalized Operational strategy document provided to the Customer,VDCTeam,Sprint1,Discovery & Design
